date,bought,count,price
2020-02-17,True,10,252.5
2020-02-25,True,21,247.98
2020-02-27,True,3,247.5
2020-03-03,True,7,233.0
2020-03-06,True,5,228.0
2020-03-12,True,3,185.15
2020-03-16,True,3,194.0
2020-03-27,True,13,188.05
2020-07-13,True,4,213.87
2020-08-20,True,7,238.44
2020-09-03,True,7,221.67
2020-09-07,True,2,221.5
2020-09-09,True,24,217.01
2020-09-30,True,22,224.5
2020-10-01,True,2,229.08
2020-11-03,True,2,205.7
2020-11-23,True,18,240.45
2021-01-22,True,6,273.0
2021-02-15,True,3,268.49
2021-02-20,True,2,271.0
2021-02-24,True,8,272.12
2021-03-22,True,2,285.0
2021-04-20,True,12,288.9
2021-04-21,True,11,288.01
2021-05-13,True,2,302.11
2021-06-16,True,3,312.5
2021-06-18,True,4,312.9
2021-07-01,True,11,306.0
2021-07-05,True,9,307.81
2021-07-08,True,14,303.0
2021-07-19,True,6,298.0
2021-08-17,True,23,329.0
2021-08-25,True,5,324.3
2021-08-26,True,11,324.03
2021-09-15,True,3,326.46
2021-09-22,True,58,325.28
2021-11-03,True,12,370.0
2021-11-22,True,6,326.05
2021-11-24,True,2,328.0
2021-12-09,True,6,297.49
2021-12-13,True,2,298.23
2022-01-03,True,18,295.9
2022-01-27,True,2,235.0
2022-01-28,True,6,255.87
2022-02-15,True,1159,257.89
2022-04-19,True,4,123.85
2022-04-22,True,7,118.65
2022-05-25,True,3,124.11
2022-05-26,True,90,124.8
2022-05-27,True,45,123.0
2022-06-02,True,3,121.9
2022-06-06,True,25,119.26
2022-07-14,True,2,125.97
2022-07-15,True,18,126.06
2022-08-05,True,78,127.5
2022-08-08,True,510,126.11
2022-08-11,True,27,126.97
2022-09-08,True,15,136.69
2022-09-12,True,2,137.07
2022-09-26,True,2,114.0
2022-10-13,True,2,105.72
2022-12-13,True,3,139.67
2022-12-21,True,8,138.7
2023-05-12,True,11,231.0
2023-06-02,True,3,242.0
2023-06-08,True,53,241.3
2023-06-21,True,12,241.9
2023-07-17,True,14,244.77
2023-08-17,True,4,257.15
2023-10-30,True,13,269.9
2023-10-31,True,129,270.0
2023-11-01,True,166,268.29
2023-12-07,True,2,267.62
2023-12-15,True,2,256.6
2024-01-03,True,2,271.9
2024-01-23,True,14,274.7
2024-01-24,True,18,275.9
2020-02-28,False,10,235.0
2020-03-06,False,21,228.0
2020-03-10,False,3,197.99
2020-03-10,False,5,197.99
2020-03-11,False,7,202.0
2020-03-17,False,3,195.0
2020-03-18,False,3,179.0
2020-04-09,False,13,202.4
2020-07-17,False,4,211.69
2020-09-03,False,7,221.67
2020-09-16,False,24,231.72
2020-10-02,False,2,210.4
2020-10-05,False,22,209.65
2020-10-12,False,7,205.97
2020-10-13,False,2,205.92
2020-11-09,False,2,220.0
2020-12-02,False,18,260.05
2021-02-05,False,6,271.99
2021-02-26,False,11,268.0
2021-03-12,False,2,286.3
2021-04-29,False,2,301.0
2021-05-05,False,11,304.01
2021-05-06,False,12,306.29
2021-07-14,False,28,302.7
2021-07-20,False,4,292.33
2021-07-27,False,9,302.66
2021-08-06,False,6,316.2
2021-08-09,False,2,318.59
2021-09-01,False,23,328.87
2021-10-05,False,5,346.78
2021-10-05,False,3,346.78
2021-10-06,False,11,366.0
2021-10-07,False,58,367.69
2021-11-17,False,12,338.49
2021-12-06,False,6,322.0
2021-12-09,False,2,297.49
2022-01-14,False,6,272.39
2022-01-14,False,18,272.39
2022-01-17,False,2,262.15
2022-01-28,False,2,255.87
2022-02-01,False,6,269.72
2022-02-16,False,1159,276.88
2022-04-26,False,4,112.58
2022-04-28,False,7,132.14
2022-06-10,False,73,118.03
2022-06-21,False,90,131.98
2022-06-23,False,3,133.9
2022-07-27,False,2,132.9
2022-07-28,False,18,133.01
2022-08-12,False,105,123.46
2022-08-18,False,510,124.39
2022-09-21,False,15,112.5
2022-09-22,False,2,120.25
2022-10-05,False,2,110.49
2022-10-18,False,2,113.05
2023-01-12,False,3,150.02
2023-01-13,False,8,149.58
2023-05-25,False,11,246.1
2023-06-13,False,3,241.51
2023-07-03,False,53,240.0
2023-08-01,False,12,269.0
2023-08-02,False,14,268.5
2023-10-25,False,4,271.5
2023-11-14,False,166,283.7
2023-11-23,False,13,286.16
2023-11-24,False,129,286.49
2023-12-25,False,2,271.72
2024-02-08,False,2,284.52
