date,bought,count,price
2021-05-20,True,9,2439.64
2021-05-25,True,3,2649.03
2021-06-10,True,2,2611.14
2021-06-11,True,2,2472.86
2021-06-18,True,12,2374.59
2021-06-19,True,31,2235.16
2021-06-21,True,2,2245.32
2021-06-23,True,14,1878.62
2021-06-26,True,10,1810.88
2021-07-11,True,2,2110.88
2021-07-13,True,4,2034.1
2021-07-16,True,2,1916.6
2021-08-27,True,3,3096.41
2021-08-28,True,2,3275.1
2021-09-20,True,4,3329.67
2021-09-23,True,2,3077.97
2021-10-20,True,2,3877.73
2021-10-26,True,2,4217.34
2021-11-19,True,4,3995.73
2021-11-20,True,2,4298.35
2021-12-14,True,8,3782.82
2021-12-21,True,16,3938.46
2022-01-06,True,8,3549.71
2022-01-12,True,3,3238.45
2022-01-18,True,7,3212.29
2022-02-15,True,2,2933.73
2022-02-23,True,2,2639.45
2022-02-25,True,28,2598.44
2022-03-07,True,3,2555.3
2022-03-09,True,2,2577.17
2022-03-15,True,2,2590.67
2022-04-10,True,2,3261.29
2022-05-02,True,2,2827.61
2022-05-19,True,3,1916.15
2022-06-15,True,15,1211.37
2022-06-17,True,8,1067.99
2022-06-20,True,2,1127.66
2022-07-27,True,24,1443.73
2022-08-03,True,38,1633.05
2022-08-20,True,18,1612.65
2022-08-22,True,2,1619.17
2022-08-23,True,25,1622.94
2022-08-30,True,3,1553.19
2022-09-16,True,3,1471.93
2022-09-21,True,2,1324.22
2022-09-23,True,2,1327.48
2022-09-24,True,73,1328.24
2022-09-29,True,2,1337.55
2022-10-11,True,5,1291.11
2022-10-14,True,12,1288.05
2022-10-15,True,2,1297.31
2022-10-22,True,7,1299.9
2022-11-17,True,4,1215.85
2022-11-21,True,13,1142.4
2022-12-28,True,2,1212.74
2023-01-02,True,2,1201.1
2023-02-08,True,4,1671.91
2023-02-27,True,4,1640.76
2023-03-07,True,2,1567.42
2023-03-08,True,2,1561.98
2023-03-12,True,6,1482.43
2023-03-24,True,2,1815.82
2023-04-22,True,14,1849.29
2023-04-26,True,2,1866.15
2023-04-27,True,180,1866.69
2023-05-03,True,2,1870.69
2023-05-10,True,34,1848.21
2023-06-12,True,13,1753.08
2023-06-29,True,3,1828.06
2023-07-22,True,13,1891.96
2023-08-03,True,3,1838.9
2023-08-08,True,74,1826.93
2023-08-14,True,6,1839.32
2023-08-22,True,2,1667.28
2023-08-28,True,2,1657.44
2023-09-04,True,11,1635.72
2023-09-07,True,13,1632.26
2023-10-09,True,14,1633.45
2023-10-12,True,12,1566.36
2023-10-30,True,6,1795.59
2023-11-18,True,86,1961.67
2023-11-19,True,25,1963.18
2023-12-01,True,2,2052.1
2023-12-12,True,12,2224.39
2023-12-20,True,2,2177.24
2024-01-04,True,45,2210.53
2024-01-06,True,78,2269.54
2024-01-07,True,37,2242.01
2024-01-27,True,4,2267.32
2021-05-21,False,9,2772.34
2021-05-27,False,3,2888.75
2021-06-11,False,2,2472.86
2021-06-19,False,2,2235.16
2021-06-20,False,12,2171.34
2021-06-22,False,31,1886.67
2021-06-23,False,2,1878.62
2021-06-28,False,10,1981.39
2021-06-29,False,14,2083.45
2021-07-14,False,2,1941.17
2021-07-16,False,4,1916.6
2021-07-20,False,2,1819.08
2021-09-01,False,3,3430.76
2021-09-02,False,2,3825.03
2021-09-21,False,4,2977.31
2021-09-29,False,2,2809.3
2021-10-21,False,2,4161.71
2021-10-28,False,2,3924.82
2021-11-20,False,4,4298.35
2021-11-27,False,2,4043.0
2021-12-24,False,8,4111.35
2021-12-24,False,16,4111.35
2022-01-08,False,8,3193.5
2022-01-21,False,3,3002.96
2022-01-22,False,7,2561.15
2022-02-16,False,2,3180.45
2022-02-27,False,28,2780.5
2022-03-01,False,2,2919.78
2022-03-17,False,3,2771.96
2022-03-18,False,2,2814.43
2022-03-19,False,2,2944.72
2022-04-12,False,2,2981.42
2022-05-05,False,2,2940.23
2022-05-27,False,3,1802.54
2022-06-17,False,15,1067.99
2022-06-19,False,8,993.4
2022-06-23,False,2,1051.33
2022-07-28,False,24,1636.23
2022-08-06,False,38,1732.66
2022-08-27,False,18,1508.16
2022-08-27,False,25,1508.16
2022-08-28,False,2,1491.21
2022-09-07,False,3,1560.91
2022-09-19,False,3,1335.27
2022-09-22,False,2,1251.57
2022-10-26,False,2,1461.13
2022-10-26,False,2,1461.13
2022-10-26,False,12,1461.13
2022-10-26,False,7,1461.13
2022-10-26,False,75,1461.13
2022-10-27,False,5,1566.84
2022-11-21,False,4,1142.4
2022-11-27,False,13,1205.91
2023-01-05,False,2,1256.48
2023-01-09,False,2,1287.45
2023-02-10,False,4,1546.6
2023-03-09,False,4,1534.03
2023-03-10,False,2,1438.76
2023-03-11,False,2,1429.1
2023-03-13,False,6,1590.83
2023-03-28,False,2,1715.33
2023-05-06,False,14,1995.48
2023-06-01,False,4,1873.91
2023-06-11,False,180,1752.53
2023-06-12,False,34,1753.08
2023-06-15,False,13,1650.5
2023-07-03,False,3,1937.88
2023-08-09,False,3,1855.78
2023-08-18,False,13,1682.04
2023-08-18,False,6,1682.04
2023-08-19,False,74,1660.84
2023-08-30,False,2,1729.68
2023-09-12,False,2,1551.5
2023-10-13,False,11,1539.43
2023-10-13,False,14,1539.43
2023-10-24,False,13,1766.01
2023-10-25,False,12,1784.91
2023-11-03,False,6,1800.92
2023-11-23,False,86,2063.91
2023-12-03,False,25,2165.9
2023-12-05,False,2,2243.09
2023-12-28,False,12,2380.2
2023-12-28,False,2,2380.2
2024-01-09,False,82,2332.87
2024-01-11,False,78,2584.17
2024-01-30,False,4,2317.44
