date,bought,count,price
2020-02-17,True,6,2980.0
2020-02-18,True,12,2993.0
2020-02-19,True,16,2918.6
2020-03-12,True,53,2559.8
2020-04-14,True,60,2698.8
2020-05-27,True,2,2905.8
2020-06-04,True,5,2856.0
2020-07-13,True,11,3637.0
2020-09-07,True,149,4845.0
2020-09-08,True,163,4980.6
2020-09-09,True,3,4698.8
2020-09-21,True,4,4627.0
2020-10-05,True,62,4938.0
2020-10-07,True,3,4891.8
2020-11-12,True,33,4708.8
2020-11-17,True,2,4738.0
2020-12-25,True,4,5032.0
2020-12-29,True,2,5014.0
2021-01-26,True,11,4941.8
2021-03-09,True,14,4590.0
2021-03-23,True,5,4890.6
2021-03-24,True,5,4909.2
2021-03-25,True,4,4855.0
2021-04-08,True,5,4872.4
2021-04-14,True,6,4631.6
2021-05-12,True,106,4678.0
2021-06-04,True,5,4919.0
2021-06-07,True,13,4924.0
2021-06-08,True,3,4922.4
2021-08-11,True,102,4966.4
2021-10-15,True,13,5549.6
2021-10-27,True,3,5315.0
2021-11-15,True,28,5970.2
2021-11-18,True,152,5925.0
2021-11-23,True,18,5430.0
2021-12-01,True,14,5412.0
2021-12-02,True,13,5338.4
2021-12-15,True,12,4587.4
2021-12-16,True,3,4526.0
2021-12-23,True,2,4500.0
2021-12-27,True,62,4427.0
2022-01-11,True,55,4217.2
2022-01-19,True,3,3769.0
2022-04-14,True,5,2088.0
2022-04-19,True,5,1885.2
2022-05-13,True,10,1604.6
2022-05-25,True,30,1594.0
2022-06-03,True,22,1593.0
2022-06-06,True,80,1513.0
2022-07-04,True,54,1604.6
2022-09-06,True,11,2156.0
2022-09-21,True,10,1782.2
2022-09-26,True,10,1750.2
2022-10-11,True,3,2003.0
2022-10-19,True,4,1968.0
2022-11-16,True,7,2089.0
2022-11-21,True,27,2091.0
2022-12-02,True,3,1980.2
2022-12-07,True,19,1989.4
2022-12-12,True,21,1950.8
2022-12-13,True,37,1926.0
2022-12-16,True,65,1854.8
2022-12-19,True,46,1830.0
2022-12-21,True,2,1856.0
2023-01-20,True,2,1877.8
2023-01-30,True,2,1912.0
2023-04-05,True,5,1905.8
2023-08-17,True,4,2597.6
2023-08-28,True,23,2655.0
2023-09-25,True,2,2428.4
2023-09-27,True,190,2405.0
2023-11-09,True,6,2619.0
2023-11-15,True,2,2590.0
2023-11-21,True,15,2570.0
2023-11-24,True,5,2569.8
2023-12-06,True,28,2420.2
2023-12-07,True,83,2327.0
2023-12-15,True,5,2162.0
2020-02-25,False,6,2800.0
2020-02-26,False,12,2661.6
2020-02-27,False,16,2666.0
2020-03-17,False,53,2312.8
2020-04-30,False,60,2898.0
2020-06-16,False,2,2984.2
2020-06-18,False,5,3058.6
2020-07-20,False,11,3957.0
2020-09-09,False,163,4698.8
2020-09-18,False,149,4581.0
2020-09-23,False,4,4980.8
2020-09-25,False,3,4800.0
2020-10-19,False,62,4551.8
2020-10-20,False,3,4465.0
2020-11-24,False,33,4711.0
2020-11-27,False,2,5007.0
2021-01-06,False,4,5300.0
2021-01-12,False,2,5222.2
2021-02-11,False,11,5310.0
2021-03-15,False,14,4971.0
2021-04-07,False,9,4962.4
2021-04-14,False,5,4631.6
2021-04-20,False,6,4679.4
2021-04-23,False,5,4624.8
2021-05-24,False,106,4790.0
2021-06-22,False,8,5008.4
2021-06-30,False,13,5071.0
2021-08-17,False,102,5060.0
2021-10-29,False,3,5808.0
2021-11-03,False,13,5940.0
2021-11-19,False,28,5999.8
2021-11-23,False,152,5430.0
2021-12-06,False,18,5100.6
2021-12-07,False,14,5080.2
2021-12-08,False,13,5016.0
2022-01-06,False,12,4269.6
2022-01-06,False,2,4269.6
2022-01-10,False,3,4194.0
2022-01-14,False,62,4153.0
2022-01-17,False,55,3952.0
2022-01-24,False,3,3491.8
2022-04-15,False,5,1955.4
2022-04-22,False,5,1670.0
2022-05-20,False,10,1722.0
2022-06-06,False,30,1513.0
2022-06-07,False,22,1397.8
2022-06-10,False,80,1390.0
2022-07-06,False,54,1720.6
2022-09-21,False,11,1782.2
2022-09-23,False,10,1923.0
2022-09-27,False,10,1575.0
2022-10-31,False,3,2030.0
2022-11-01,False,4,2119.0
2022-11-29,False,7,1918.8
2022-12-02,False,27,1980.2
2022-12-06,False,3,1988.0
2022-12-15,False,19,1850.0
2022-12-19,False,21,1830.0
2022-12-20,False,37,1764.6
2023-01-17,False,46,1959.0
2023-01-18,False,65,1889.0
2023-02-01,False,2,2050.0
2023-02-01,False,2,2050.0
2023-02-02,False,2,2099.8
2023-04-21,False,5,2106.6
2023-08-24,False,4,2630.0
2023-09-12,False,23,2497.0
2023-10-12,False,2,2435.0
2023-10-20,False,190,2668.8
2023-12-04,False,6,2420.0
2023-12-04,False,15,2420.0
2023-12-05,False,2,2419.8
2023-12-06,False,5,2420.2
2023-12-12,False,28,2218.0
2023-12-15,False,83,2162.0
2023-12-26,False,5,2399.8
