begin,open,close,high,low
2020-02-07,112.4,113.16,113.38,111.31
2020-02-10,112.7,113.8,113.94,111.52
2020-02-11,113.8,114.0,115.0,112.14
2020-02-12,114.39,112.91,114.49,112.22
2020-02-13,112.75,112.25,113.13,111.8
2020-02-14,112.25,112.5,112.88,111.52
2020-02-17,112.82,112.8,112.95,112.01
2020-02-18,112.6,111.8,112.6,111.57
2020-02-19,112.01,111.65,112.54,111.6
2020-02-20,111.94,112.0,112.32,111.65
2020-02-21,111.7,111.33,112.52,111.2
2020-02-25,110.58,107.54,111.29,107.54
2020-02-26,107.51,107.3,107.52,105.1
2020-02-27,106.7,104.73,106.9,104.12
2020-02-28,101.87,99.08,103.5,92.3
2020-03-02,101.4,99.73,102.55,99.0
2020-03-03,101.05,98.08,101.7,97.39
2020-03-04,97.82,96.5,98.65,96.17
2020-03-05,97.36,94.93,97.69,94.53
2020-03-06,95.1,90.95,95.4,89.32
2020-03-10,81.92,90.0,93.92,81.86
2020-03-11,92.8,92.64,94.7,90.37
2020-03-12,90.68,91.69,92.44,87.2
2020-03-13,91.9,90.01,94.58,88.99
2020-03-16,89.0,87.5,90.89,85.02
2020-03-17,87.6,83.97,88.48,83.01
2020-03-18,83.35,80.98,84.32,80.0
2020-03-19,80.98,88.46,88.46,79.54
2020-03-20,89.98,92.0,93.0,89.5
2020-03-23,90.03,91.6,91.71,86.16
2020-03-24,93.43,94.46,95.95,93.01
2020-03-25,95.39,92.97,97.46,89.38
2020-03-26,92.44,92.78,95.0,90.71
2020-03-27,93.0,91.73,94.0,90.15
2020-03-30,91.0,93.6,94.08,89.44
2020-03-31,93.88,97.25,97.25,93.7
2020-04-01,95.78,96.71,97.24,95.03
2020-04-02,97.5,97.25,98.23,95.27
2020-04-03,97.0,99.0,100.02,96.71
2020-04-06,99.89,100.75,101.44,98.9
2020-04-07,102.6,101.37,103.5,100.35
2020-04-08,101.02,104.2,104.3,100.0
2020-04-09,105.0,106.9,106.9,103.93
2020-04-10,106.5,105.4,106.5,105.14
2020-04-13,105.8,103.33,106.15,101.05
2020-04-14,104.1,106.2,106.84,104.1
2020-04-15,105.95,102.68,106.79,102.11
2020-04-16,103.56,108.58,108.98,102.8
2020-04-17,109.9,113.37,113.77,109.52
2020-04-20,113.3,111.8,113.36,111.65
2020-04-21,111.11,111.0,111.8,108.37
2020-04-22,111.0,116.04,118.84,110.25
2020-04-23,119.9,117.5,119.9,116.8
2020-04-24,117.5,117.03,118.23,115.58
2020-04-27,118.2,120.1,120.65,117.85
2020-04-28,120.3,125.35,125.35,118.8
2020-04-29,126.07,121.5,129.15,120.77
2020-04-30,121.7,120.23,123.94,116.97
2020-05-04,118.66,119.6,122.47,117.88
2020-05-05,121.1,120.99,121.59,119.85
2020-05-06,121.99,122.74,123.68,120.92
2020-05-07,123.34,124.78,125.25,122.92
2020-05-08,125.9,127.09,127.78,124.2
2020-05-12,127.54,128.3,128.74,125.7
2020-05-13,128.0,127.28,128.0,125.1
2020-05-14,120.1,116.46,120.29,114.62
2020-05-15,118.0,113.57,119.6,113.11
2020-05-18,115.0,115.91,115.91,113.17
2020-05-19,115.77,114.4,116.6,114.0
2020-05-20,114.4,115.8,116.06,114.23
2020-05-21,116.04,115.35,116.39,114.8
2020-05-22,114.51,114.47,114.94,113.3
2020-05-25,114.31,115.98,115.98,114.26
2020-05-26,116.56,115.33,116.82,114.86
2020-05-27,115.3,114.59,116.4,113.77
2020-05-28,114.59,115.39,115.46,114.24
2020-05-29,115.19,114.29,115.19,113.9
2020-06-01,114.28,114.42,115.32,113.39
2020-06-02,115.12,115.5,116.1,114.01
2020-06-03,115.57,118.48,119.35,115.38
2020-06-04,118.5,118.4,119.57,115.83
2020-06-05,118.75,118.28,118.95,117.3
2020-06-08,118.56,116.66,119.17,116.0
2020-06-09,116.8,115.05,117.39,114.51
2020-06-10,115.39,115.42,116.5,115.1
2020-06-11,115.18,116.05,116.46,114.06
2020-06-15,114.88,116.24,116.44,111.38
2020-06-16,116.57,116.13,117.59,116.13
2020-06-17,116.4,115.0,117.26,115.0
2020-06-18,115.58,115.16,116.55,114.94
2020-06-19,116.18,115.67,116.5,115.1
2020-06-22,115.95,116.0,116.45,114.66
2020-06-23,116.42,115.4,116.42,115.02
2020-06-25,115.0,114.87,115.6,113.6
2020-06-26,115.06,113.42,115.39,111.47
2020-06-29,113.01,113.4,114.2,112.24
2020-06-30,113.77,113.25,114.34,112.74
2020-07-02,113.8,116.07,116.33,113.48
2020-07-03,116.33,116.14,116.4,115.56
2020-07-06,116.85,118.99,120.0,116.4
2020-07-07,120.0,122.51,123.5,118.59
2020-07-08,122.79,122.48,123.69,121.7
2020-07-09,122.65,124.01,124.95,122.37
2020-07-10,123.66,126.45,126.8,123.09
2020-07-13,126.8,124.04,127.86,121.81
2020-07-14,123.52,124.92,124.98,121.32
